;period;start;end;n;missing;start;end;n;missing;log;adjust;mean;nlp;lp;ntd;nmh;td-derived;td-ftest;easter;leaster;nout;nao;nls;ntc;nso;td(1);;;td(2);;;td(3);;;td(4);;;td(5);;;td(6);;;outlier(1);;;outlier(2);;;outlier(3);;;outlier(4);;;outlier(5);;;outlier(6);;;outlier(7);;;outlier(8);;;outlier(9);;;outlier(10);;;outlier(11);;;outlier(12);;;outlier(13);;;outlier(14);;;outlier(15);;;outlier(16);;;outlier(17);;;outlier(18);;;outlier(19);;;outlier(20);;;outlier(21);;;outlier(22);;;outlier(23);;;outlier(24);;;outlier(25);;;outlier(26);;;outlier(27);;;outlier(28);;;outlier(29);;;outlier(30);;;nusers;mu;;;neffectiveobs;nparams;ll;adjustedll;ssqerr;aic;bic;aicc;bicc;hannanquinn;df;nobs;bic2;ser;type;mean;skewness;;kurtosis;;doornikhansen;lb;lb2;;seaslb;bp;bp2;seasbp;nudruns;ludruns;nruns;lruns;p;d;q;bp;bd;bq;phi(1);;;phi(2);;;phi(3);;;bphi(1);;;theta(1);;;theta(2);;;btheta(1);;;mode;seasonal;cycle;seasonality;irregular;tdh;others;total;fcast-insample-mean;fcast-outsample-mean;fcast-outsample-variance;seas-lin-qs;seas-lin-f;seas-lin-friedman;seas-lin-kw;seas-lin-periodogram;seas-lin-spectralpeaks;seas-lin-combined;seas-lin-evolutive;seas-lin-stable;seas-si-combined;seas-si-combined3;seas-si-evolutive;seas-si-stable;seas-res-qs;seas-res-f;seas-res-kw;seas-res-friedman;seas-res-periodogram;seas-res-spectralpeaks;seas-res-combined;seas-res-combined3;seas-res-evolutive;seas-res-stable;seas-i-f;;seas-i-qs;;seas-i-kw;seas-i-friedman;seas-i-periodogram;seas-i-spectralpeaks;seas-i-combined;seas-i-combined3;seas-i-evolutive;seas-i-stable;seas-sa-f;;seas-sa-qs;;seas-sa-kw;seas-sa-friedman;seas-sa-periodogram;seas-sa-spectralpeaks;seas-sa-combined;seas-sa-combined3;seas-sa-evolutive;seas-sa-stable;seas-sa-ac1;td-sa-all;td-sa-last;td-i-all;td-i-last;td-res-all;td-res-last;icratio;d9-global-msr;trend-filter;seasonal-filters;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;m11;q;q-m2;summary;f-test on sa (td);;f-test on i (td);;qs test on sa;;qs test on i;;f-test on sa (seasonal dummies);;f-test on i (seasonal dummies);
RF0610;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;1;None;0;0;NA;7;0;NA;5,144945;NA;0;5;4;0;1;0;r.REG6_Lundi;0,002041;0,8481;r.REG6_Mardi;-0,002925;-0,9206;r.REG6_Mercredi;0,002566;0,8011;r.REG6_Jeudi;-0,00348;-1,0447;r.REG6_Vendredi;-0,001073;-0,3249;r.REG6_Samedi;0,008672;2,9043;TC (5-2019);-0,249021;-10,1628;AO (3-2020);-0,016703;-0,627;AO (4-2020);-0,39726;-11,5788;AO (5-2020);-0,499185;-18,9233;AO (10-2021);-0,220403;-13,0044;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;16;301,678541642;-359,104462612;0,103937024;750,208925223;797,389083469;754,596021997;-6,68626617;769,381309799;125;154;-3,717566844;0;FullResiduals;-0,5033;-0,332598;0,1069;3,472126;0,2525;3,587607;10,395513;22,223161;0,3867;0;9,244865;19,833255;0;1,072161;5,723519;-0,591054;15,935028;0;1;2;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,133037;1,5993;0,1123;-0,387764;-4,6372;0;-0,816278;-9,4511;0;Multiplicative;1;0,769114875;0,165874131;0,027051619;0,011386229;0,662346537;1,635773391;0,750738892;0,735400441;0,811683916;151,978806;32,985331;92,25641;110,664767;34,479933;--.--.AT.AT.At.AT;Present;0,485494857;0;Present;ProbablyNone;0,768091281;0;0;1,222088;12,453161;12,692308;1,399648;--.--.at.-t.--.--;None;None;0,871219813;0,428983311;0,083445;1;0;1;0,655225;1,038462;0,074063;--.--.--.--.--.--;None;None;0,129924294;0,999935765;0,08597;1;0;1;1,685298;0,884615;0,087351;--.--.--.--.--.--;None;None;0,000592917;0,999996544;0,029338759;0,754073;0,754073;0,515285;0,515285;0,65452;0,65452;1,672950388;5,295604693;13;S3X5;1,335903113;0,801165171;0,336475194;1,293121827;0,540766391;0,518241877;0,451409586;0,879875617;0,431013155;0,942484082;0,809235235;0,713208949;0,702337955;Good;0,754073034406732;0,607158369364119;0,515284817474234;0,796057945087156;0;1;0;1;0,0859696794781352;0,999955846955215;0,0834446378703879;0,999962051710227
RF0620;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;0;None;0;0;NA;0;0;NA;NA;NA;0;23;12;7;4;0;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;LS (10-2013);-285,044899;-19,7256;LS (11-2013);-167,201619;-10,2799;TC (12-2013);-32,765956;-2,3502;AO (1-2014);-21,175056;-1,7303;AO (6-2014);-18,122931;-1,4833;AO (7-2014);-32,304536;-2,6209;AO (9-2014);-21,866459;-1,6725;LS (11-2014);-20,466494;-1,4034;LS (1-2015);107,010684;7,1851;AO (3-2015);-38,065757;-3,2791;LS (1-2016);62,984758;4,3021;AO (10-2016);-52,237299;-4,5208;AO (1-2017);-24,102951;-2,0122;LS (3-2018);59,440022;2,4388;AO (9-2020);-39,267875;-3,1024;AO (4-2021);-57,326429;-4,9678;AO (9-2021);-90,466946;-7,1209;TC (8-2022);44,905127;3,405;AO (7-2023);-42,454129;-3,6123;TC (9-2013);-98,749667;-6,9165;TC (3-2018);-122,277075;-5,0223;LS (12-2023);-53,354823;-3,6678;AO (3-2024);65,120474;5,0037;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;153;26;-626,222694165;-626,222694165;31340,949352767;1304,44538833;1383,236774287;1315,588245473;6,144209867;1336,451754526;127;154;9,040763231;0;FullResiduals;-1,102931;-0,270807;0,1715;3,381296;0,3357;2,864696;18,700374;18,088148;0,7007;0;17,11154;16,59184;0;-1,093027;7,430474;-1,050097;10,654855;0;1;1;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,520361;-6,2136;0;-0,382027;-3,8315;2e-04;NA;NA;NA;NA;NA;NA;Additive;1;0,069477096;0,003339028;0,001160155;0;0,789853887;0,863830166;0,082674954;0,289979916;0,166403083;38,968255;5,599541;44,487179;42,541527;5,496657;--.A-.At.--.AT.--;None;0,01345041;0,00032461;None;ProbablyNone;0,008032181;0,000140015;0;1,269162;11,960177;10,948718;1,259095;--.a-.A-.--.-t.--;None;None;0,076971268;0,297395721;0,278165;0,9889;0;1;1,10039;2,935897;0,280984;--.--.--.--.--.--;None;None;0,421047115;0,996809495;0,302086;0,9844;0;1;2,914974;5,487179;0,299357;--.--.--.--.--.--;None;None;0,146940892;0,998938746;-0,253581846;1,323458;1,323458;1,572685;1,572685;0,647964;0,647964;1,68192424;3,400163584;13;S3X5;1,655986423;0,055207067;0,34096212;0,024867727;0,500993461;0,239934567;1,403578686;2,048084432;1,134110732;2,451698237;2,217093468;0,94900928;1,059479217;Severe;1,32345820112574;0,250266598015025;1,57268531885399;0,159070421121573;0;1;0;1;0,302085886748665;0,984445623094449;0,278164556007311;0,988931377772411
RF0811;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;1;None;0;0;NA;7;0;NA;14,380721;NA;0;18;15;1;2;0;r.REG6_Lundi;0,015312;2,1822;r.REG6_Mardi;0,002904;0,3541;r.REG6_Mercredi;0,009673;1,2343;r.REG6_Jeudi;0,033533;4,246;r.REG6_Vendredi;-0,000778;-0,0935;r.REG6_Samedi;-0,032339;-4,0825;LS (2-2012);-0,266655;-3,8272;AO (3-2020);-0,309105;-5,6686;AO (4-2020);-0,719633;-12,518;AO (5-2020);-0,442308;-7,3085;AO (6-2020);-0,191209;-3,1909;AO (7-2020);-0,160526;-2,5426;AO (8-2020);-0,241809;-3,7261;AO (9-2020);-0,227876;-3,7289;AO (10-2020);-0,400197;-6,6595;AO (11-2020);-0,133703;-2,2562;AO (12-2020);-0,091095;-1,5636;AO (1-2021);-0,129169;-2,3808;TC (7-2023);0,239285;4,4155;TC (3-2016);-0,226604;-4,4403;AO (8-2018);0,265474;4,8863;AO (8-2019);0,233;4,0695;AO (9-2023);0,308594;5,812;AO (1-2024);-0,277316;-4,5344;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;28;194,881292495;-449,375672483;0,512699699;954,751344966;1037,316621896;969,251344966;-4,669190006;988,303017974;113;154;-1,781541192;0;FullResiduals;-0,067165;-0,229897;0,2651;3,595532;0,1489;3,864266;29,438641;13,623738;0,9143;0,058143;26,6853;12,274889;0,052451;2,479372;34,011427;-0,324061;9,304509;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,571956;-6,7917;0;NA;NA;NA;-0,360637;-3,799;2e-04;Multiplicative;1;0,235093622;0,646661771;0,018861804;0,059844623;0,448913656;1,409375475;0,898933485;0,628746921;0,286026126;219,175429;38,376405;110,192308;128,829386;51,021069;AT.AT.AT.AT.AT.At;Present;0,661578576;0;Present;Present;0,667706414;0;0,058143;1,414693;19,209233;16,426573;1,226128;--.--.-t.--.--.--;None;None;0,136821283;0,158388359;0,292212;0,9864;0;1;0,93938;3,230769;0,290184;a-.--.--.--.--.--;None;None;0,032514737;0,978359271;0,237151;0,9944;0;1;2,105705;2,076923;0,22659;--.--.--.--.--.--;None;None;7,1962e-05;0,998561423;-0,419251981;0,482165;0,482165;0,404084;0,404084;0,079204;0,079204;2,140312525;2,811900796;13;S3X5;0,335714486;0,342265856;0,570156263;0,497354549;0,690017726;0,475239682;0,266684237;0,54609485;0,422888466;0,689582775;0,656865853;0,461140541;0,475832918;Severe;0,482164551228192;0,820832909456553;0,40408400733787;0,875413425867874;0;1;0;1;0,237150755887382;0,994399662023616;0,292212095469608;0,986423395788609
RF0812;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;0;None;0;0;NA;7;0;NA;28,211141;NA;0;5;5;0;0;0;r.REG6_Lundi;1,301058;2,85;r.REG6_Mardi;1,868236;3,5588;r.REG6_Mercredi;1,135018;2,15;r.REG6_Jeudi;1,35416;2,5225;r.REG6_Vendredi;-0,241298;-0,4492;r.REG6_Samedi;-2,234333;-4,2712;AO (2-2012);-26,159045;-6,0721;AO (3-2020);-42,279344;-11,8787;AO (4-2020);-63,785854;-17,7428;AO (5-2020);-19,298891;-5,2639;AO (1-2017);-12,977473;-3,7502;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;15;-393,448528944;-393,448528944;2054,822325942;816,897057889;861,128456244;820,737057889;3,170551004;834,871168429;126;154;6,107294016;0;FullResiduals;-0,031068;-0,236078;0,2524;3,661418;0,1089;4,374212;23,371652;19,409109;0,6199;1,103014;20,858121;17,494499;0,995027;0,26804;2,207909;-0,902563;17,337535;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,659878;-9,4642;0;NA;NA;NA;-0,709866;-8,0163;0;Additive;1;0,092398285;0,845880374;0,006988401;0,049062858;0,175034872;1,16936479;0,693789961;0,244431827;0,406379187;255,913659;154,906978;120,846154;140,144695;224,645323;At.At.AT.At.At.AT;Present;0,658130356;0;Present;Present;0,899826508;0;1,103014;0,526635;8,586963;13,13986;0,804443;--.--.--.--.--.--;None;None;0,792694945;0,852592541;0,679291;0,7561;0,044551;0,978;2,080909;3,423077;0,743518;--.--.--.--.--.--;None;None;0,891001727;0,69071771;0,807528;0,6324;0,448578;0,7991;2,58882;2,692308;0,88524;--.--.--.--.--.--;None;None;0,054362767;0,953250141;-0,444361939;0,687486;0,687486;0,845063;0,845063;0,414904;0,414904;2,777776606;4,51269271;13;S3X5;0,069965734;0,084711477;0,888888303;0,472486821;1,196525111;0,205077084;0,108118532;0,205806255;0,138690468;0,194901301;0,179202845;0,353668355;0,386910216;Good;0,687486418262718;0,660026585820033;0,845062996625017;0,537148795646563;0,448578039286877;0,799084149975356;0,0445505466678135;0,977970988660222;0,807527692622068;0,632427225123503;0,679291006352686;0,756120082179308
RF0893;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;0;None;0;0;NA;5;0;NA;2,103075;NA;0;1;1;0;0;0;r.REG5_Lundi;1,086812;0,7797;r.REG5_Mardi;0,22897;0,1418;r.REG5_Mercredi;3,323662;2,1363;r.REG5_Jeudi;-2,870155;-1,8032;r.REG5_Vendredi;-1,063862;-0,7447;;NA;NA;AO (12-2012);-54,589233;-5,0309;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;9;-537,951564167;-537,951564167;14857,949425948;1093,903128334;1120,441967348;1095,277174136;4,938311129;1104,687594658;132;154;7,946396932;0;FullResiduals;0,060756;0,044363;0,8297;2,503856;0,2291;1,0757;27,609307;35,885258;0,0312;0,467956;24,74759;32,305325;0,382873;-1,139171;6,710185;-1,605316;27,150292;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,906519;-16,3433;0;NA;NA;NA;-0,871227;-7,8919;0;Additive;1;0,062672086;0,703977314;0,131869334;0,021363609;0,063126495;0,983008837;0,969657458;0,894682269;0,026447883;159,636879;23,920686;84,717949;99,540855;36,550717;At.-t.AT.At.A-.At;Present;0,001431024;0;Present;None;0,002501842;0;0,467956;0,766435;6,634003;8,468531;0,918009;--.--.--.--.--.--;None;None;0,956280242;0,690671083;0,3057;0,9837;0;1;1,334482;2,025641;0,284302;--.--.--.--.--.--;None;None;0,109722155;0,992707058;0,184408;0,9982;0,064855;0,9681;1,417285;2,064103;0,211004;--.--.--.--.--.--;None;None;0,039266913;0,99623709;-0,484751766;0,527158;0,527158;0,556206;0,556206;0,42563;0,42563;5,657958884;5,903013817;23;S3X9;2,108325189;1,407546834;2,328979442;0,273545002;3;0,761205527;0,453549528;0,377676267;0,297752748;0,412336497;0,395289752;1,235186901;1,211187417;Good;0,527157535062383;0,78700008438662;0,556205845582151;0,764519816068133;0,0648552476332352;0,968092514137116;0;1;0,184407908142671;0,99818865005899;0,305699997578348;0,983675670091218
RF0899;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;1;None;0;0;NA;7;0;NA;6,011924;NA;0;7;7;0;0;0;r.REG6_Lundi;-0,009354;-0,9759;r.REG6_Mardi;0,018965;1,7049;r.REG6_Mercredi;0,017611;1,6156;r.REG6_Jeudi;0,006829;0,6271;r.REG6_Vendredi;0,013752;1,2105;r.REG6_Samedi;-0,030726;-2,7543;AO (6-2017);-0,53648;-7,544;AO (3-2020);-0,211887;-2,8109;AO (4-2020);-0,286306;-3,6851;AO (5-2020);-0,453072;-5,6451;AO (6-2020);-0,455769;-6,0556;AO (3-2016);-0,359259;-4,8935;AO (12-2021);0,291551;3,9929;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;17;154,379493021;-489,124759353;0,843072858;1012,249518706;1062,378436842;1017,225128462;-4,557900383;1032,620177318;124;154;-1,593121049;0;FullResiduals;-0,485709;-0,283601;0,1692;2,872943;0,7581;2,218335;17,479451;54,995533;1e-04;0,536053;16,129399;48,084766;0,438589;-1,340201;13,153483;-1,580386;11,747372;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,478454;-4,8373;0;NA;NA;NA;-0,808758;-9,1569;0;Multiplicative;1;0,209013836;0,646414857;0,042152612;0,056440637;0,348270075;1,302292017;0,613626491;0,691940342;0,466044268;171,695304;37,221614;100,794872;115,965169;55,837439;at.AT.AT.At.at.AT;Present;0,83548695;0;Present;ProbablyNone;0,410852956;0;0,536053;1,550562;18,431843;14,062937;1,418769;-t.--.--.--.--.a-;None;None;0,286216817;0,06889649;0,700518;0,7363;0;1;1,681158;3,987179;0,735613;-t.--.--.--.--.--;None;None;0,806803255;0,804821351;0,710193;0,7271;0;1;4,499363;6,025641;0,738786;--.--.--.--.--.--;None;None;0,562590737;0,958638343;-0,361879339;1,351248;1,351248;1,425208;1,425208;1,079923;1,079923;2,552212404;5,039534445;13;S3X5;0,568276282;0,646780373;0,776106202;0,248677274;0,895745143;0,415813778;0,33301137;0,557448791;0,339161875;0,749799513;0,719416656;0,547065055;0,53474069;Good;1,35124786829475;0,238286897428375;1,42520756809421;0,20872321692453;0;1;0;1;0,710193363906451;0,727084653764988;0,700518440167364;0,736255032345236
RF1011;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;1;None;0;0;NA;7;0;NA;67,452587;NA;0;9;8;1;0;0;r.REG6_Lundi;-0,000726;-0,254;r.REG6_Mardi;0,017604;5,3631;r.REG6_Mercredi;0,016142;4,9347;r.REG6_Jeudi;0,013356;3,9062;r.REG6_Vendredi;0,009709;2,8199;r.REG6_Samedi;-0,033508;-9,9037;AO (5-2020);-0,027412;-1,2384;AO (6-2020);0,052745;2,4455;AO (10-2020);-0,005671;-0,2639;AO (12-2020);0,008492;0,3806;AO (1-2021);0,025839;1,1925;AO (3-2021);0,051789;2,3804;AO (5-2021);-0,022514;-0,9939;AO (6-2021);0,003115;0,1422;LS (1-2018);0,10737;7,8074;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;19;334,301596526;-307,034446536;0,065943276;652,068893073;708,09533099;658,349884808;-7,035963669;674,836099757;122;154;-4,075012448;0;FullResiduals;-0,327744;0,365619;0,0763;3,730655;0,0766;5,205893;24,493901;21,942104;0,4633;1,67848;22,021918;19,283667;1,514153;-0,53608;4,336623;-1,254367;14,475326;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,789335;-16,7374;0;NA;NA;NA;-0,782264;-8,3583;0;Multiplicative;1;0,072317613;0,151446559;0,0176972;0,205774276;0,516506401;0,96374205;0,794444795;0,982946956;0,654792974;159,232284;29,503603;96,679487;106,994378;44,220129;--.At.-t.AT.At.at;Present;0,010601273;0;Present;ProbablyNone;0,009127764;0;1,67848;1,068895;10,647692;10,202797;1,015471;--.--.--.--.--.--;None;None;0,15349037;0,336592353;0,307125;0,9834;0;1;1,405407;2,615385;0,331616;--.--.--.--.--.--;None;None;0,224232084;0,997618469;0,335697;0,9763;0;1;1,861984;4,551282;0,361745;--.--.--.--.--.--;None;None;0,521337843;0,998857648;-0,553703001;1,76733;1,76733;1,860892;1,860892;1,795921;1,795921;4,683881753;5,330895416;23;S3X5;0,796960766;0,3660276;1,841940876;0,124338637;3;0,532358166;0,425456754;0,536793493;0,30936679;0,714257781;0,714257781;0,890290166;0,955086663;Good;1,76733012813819;0,109709047908706;1,86089181329879;0,0913629936730989;0;1;0;1;0,335696891050207;0,976284376306275;0,307125324894626;0,983365108909715
RF1012;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;0;None;0;0;NA;5;0;NA;147,361246;NA;0;2;0;1;1;0;r.REG5_Lundi;0,145244;0,5481;r.REG5_Mardi;2,026744;6,3624;r.REG5_Mercredi;1,504453;4,6662;r.REG5_Jeudi;1,386977;4,2848;r.REG5_Vendredi;0,313382;1,1276;;NA;NA;LS (4-2022);-6,825862;-3,3763;TC (5-2022);-10,261673;-3,9075;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;142;10;-340,977957685;-340,977957685;870,618775143;701,955915371;731,514185947;703,635304684;2,127478852;713,967196723;132;154;5,151508352;0;FullResiduals;-0,501384;0,241996;0,2391;2,839805;0,6968;1,646759;12,70414;30,882867;0,0985;0,108909;11,627095;27,602147;0,098321;0,133541;3,565619;1,013182;6,501916;1;0;0;0;1;1;-0,830021;-16,8376;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,915276;-6,1619;0;Additive;1;0,242901039;0,410085283;0,026907525;0,264618535;0,289228717;1,233741099;0,105759672;0,001620301;0,042878424;203,40006;54,370662;113,935897;129,403463;75,4669;A-.At.AT.At.AT.--;Present;0,00241055;0;Present;ProbablyNone;0,314499828;0;0,108909;0,859431;10,855976;9,685315;0,86487;--.--.--.--.--.--;None;None;0,388348145;0,593963359;0,340821;0,9748;0;1;0,736589;2,435897;0,324707;--.--.--.--.--.--;None;None;0,212123324;0,989345762;0,27726;0,9891;0;1;1,101852;1,987179;0,299298;--.--.--.--.--.--;None;None;0,000962306;0,99977085;-0,056247893;1,12446;1,12446;1,317218;1,317218;0,913889;0,913889;1,683495129;4,836933042;13;S3X5;0,580399424;0,378567977;0,341747565;0,770899551;0,528701938;0,334773217;0,292703126;0,520659683;0,373222299;0,800497701;0,741373416;0,464096821;0,474667802;Good;1,12445969974099;0,350951268443254;1,31721774902154;0,253024165192178;0;1;0;1;0,277260465579231;0,989080923756611;0,340820648024612;0,974836317771343
RF1013;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;1;None;1;0;NA;7;0;NA;57,361962;NA;0;2;2;0;0;0;r.REG6_Lundi;-0,003325;-1,5294;r.REG6_Mardi;0,011239;4,4955;r.REG6_Mercredi;0,013157;5,2418;r.REG6_Jeudi;0,009111;3,5052;r.REG6_Vendredi;0,006037;2,395;r.REG6_Samedi;-0,02032;-8,0691;AO (5-2021);-0,025916;-1,4865;AO (6-2021);-0,032922;-1,9673;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;Constant;0,000221;1,8186;141;13;365,630997372;-289,95784749;0,042000747;605,91569498;644,249573555;608,781836712;-7,697656721;621,493257448;128;154;-4,729986639;0;FullResiduals;-0,382372;-0,129183;0,5312;2,739467;0,5277;0,580313;22,478588;26,287395;0,2395;1,210702;20,562926;23,576074;0,993887;-1,340201;5,001007;0,761296;8,962825;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,75472;-12,2463;0;NA;NA;NA;-0,804468;-8,1842;0;Multiplicative;1;0,078934451;0,591099183;0,037637679;0,253759727;0,004790905;0,966221945;0,960739157;0,000729721;0,333156036;187,601922;62,843411;107,461538;123,440194;67,457494;AT.At.aT.At.At.--;Present;0,85858733;0;Present;Present;0,989583039;0;1,210702;0,943243;12,365807;12,342657;1,302558;a-.A-.--.a-.--.--;None;None;0,270363973;0,449878893;0,506874;0,8959;0;1;1,653569;2,282051;0,489926;--.--.--.--.--.--;None;None;0,883680132;0,944108147;0,361252;0,9685;0,086985;0,9574;1,690901;1,410256;0,378959;--.--.--.--.--.--;None;None;0,206085439;0,892484519;-0,441801817;2,163568;2,163568;2,320588;2,320588;1,372962;1,372962;3,809636377;4,92446508;23;S3X5;0,424726561;0,378188659;1,404818188;0,397883639;1,702011652;0,369786032;0,188478313;0,441491981;0,19374067;0,506139491;0,44968328;0,597211096;0,624281285;Good;2,16356798020283;0,0497598611790022;2,32058826826338;0,0360296778788709;0,0869845188669647;0,957439965190021;0;1;0,361251951437109;0,968499130576296;0,506873736755936;0,895932082604584
RF1020;12;2012-01-01;2024-10-01;154;0;2012-01-01;2024-10-01;154;0;1;None;0;0;NA;6;0;NA;21,687478;NA;0;4;3;1;0;0;r.REG5_Lundi;0,000772;0,1646;r.REG5_Mardi;0,009841;1,7671;r.REG5_Mercredi;0,021595;4,0714;r.REG5_Jeudi;0,010499;1,9905;r.REG5_Vendredi;0,001794;0,3702;r.LY;0,054167;2,7254;AO (6-2020);0,134279;3,4851;AO (7-2020);0,149803;3,5946;AO (8-2020);0,157993;3,7943;LS (9-2020);0,149639;4,4124;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;;NA;NA;0;;NA;NA;141;13;245,607213552;-385,681594403;0,245260424;797,363188806;835,697067381;800,229330539;-5,933023515;812,940751274;128;154;-3,027521621;0;FullResiduals;0,766641;-0,108291;0,5996;2,805786;0,6378;0,32667;25,151052;22,706204;0,4185;0,12872;22,57172;20,089569;0,105317;-0,33505;2,260847;0,254165;2,346304;0;1;1;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,702878;-10,1544;0;NA;NA;NA;-0,526167;-6,0339;0;Multiplicative;1;0,076976676;0,34138227;0,02660756;0,068233886;0,413071874;0,926272267;0,355348441;0,714052946;0,898179324;198,36843;34,203241;113,012821;127,092646;56,934076;--.at.AT.At.At.--;Present;0,015378887;0;Present;Present;0,001033973;0;0,12872;0,479947;7,241085;6,734266;0,521916;A-.--.--.A-.--.--;None;None;0,086137812;0,917614963;0,349743;0,9722;0;1;1,586001;3,025641;0,38922;--.--.--.--.--.--;None;None;0,808151386;0,970850954;0,519073;0,8877;0;1;5,090641;5,089744;0,607891;--.--.--.--.--.--;None;None;0,240750956;0,988928675;-0,446565301;1,007674;1,007674;1,032615;1,032615;0,855821;0,855821;3,767145487;3,388173284;23;S3X5;1,208564752;0,453335923;1,383572744;0,323280457;1,623989919;0,244730686;0,392208819;0,770090928;0,389314787;0,881166993;0,773879982;0,756012964;0,793422486;Good;1,00767423328451;0,422661104815692;1,03261533839041;0,406566488305608;0;1;0;1;0,519073121644222;0,887718245610982;0,349743314664808;0,972180547862501
